,Location,Latitude,Longitude
867,"Lisbon, Portugal",38.7167,-9.139
1087,"Barcelona, Spain",41.3851,2.1734
1153,"Ã…lesund, Norway",62.4722,6.1495
1371,"Stavanger, Norway",58.9701,5.7333
1534,"San Marino, Italy",43.9429,12.4578
1576,"Bratislava, Slovakia",48.1482,17.1067
1604,"Vienna, Austria",48.2082,16.3738
1767,"Ostrava, Czech Republic",49.8209,18.2625
1784,"Budapest, Hungary",47.4979,19.0402
1836,"Amsterdam, Netherlands",52.3676,4.9041
1902,"Glasgow, United Kingdom",55.8652,-4.2576
2017,"Berlin, Germany",52.52,13.405
2410,"Tampere, Finland ",61.4991,23.7871
2438,"Dublin, Ireland",53.3498,-6.2603
2583,"Stockholm, Sweden",59.3346,18.0632
3656,"Edinburgh, United Kingdom",55.9533,-3.1883
9812,"Cork, Ireland",51.8985,-8.4756
14077,"Boston, USA",42.3601,-71.0589
14137,"Athens, Greece",37.9838,23.7275